ASSET,ID,WEIGHT,ACTION,CONFIDENCE
TICK,ASSET_132,0.2674,BUY,0.95
TICK,ASSET_133,0.2772,BUY,0.86
TICK,ASSET_134,0.7372,BUY,0.92
TICK,ASSET_135,0.1720,BUY,0.85
TICK,ASSET_136,0.0081,IGNORE,0.95
TICK,ASSET_137,0.2067,BUY,0.95
TICK,ASSET_138,0.2308,BUY,0.87
TICK,ASSET_139,0.1607,BUY,0.89
TICK,ASSET_140,0.0878,HOLD,0.84
TICK,ASSET_141,0.8994,BUY,0.95
TICK,ASSET_142,0.7755,BUY,0.97
TICK,ASSET_143,0.2310,BUY,0.82
TICK,ASSET_144,0.3093,BUY,0.91
TICK,ASSET_145,0.4273,BUY,0.89
TICK,ASSET_146,0.5101,BUY,0.94
TICK,ASSET_147,0.6158,BUY,0.90
TICK,ASSET_148,0.2983,BUY,0.83
TICK,ASSET_149,0.0765,HOLD,0.94
TICK,ASSET_150,0.0680,HOLD,0.90
TICK,ASSET_151,0.0000,IGNORE,0.96
TICK,ASSET_152,0.1075,BUY,0.81
TICK,ASSET_153,0.8052,BUY,0.86
TICK,ASSET_154,0.5945,BUY,0.81
TICK,ASSET_155,0.7977,BUY,0.82
TICK,ASSET_156,0.2594,BUY,0.85
TICK,ASSET_157,0.4163,BUY,0.96
TICK,ASSET_158,0.0129,HOLD,0.87
TICK,ASSET_159,0.1289,BUY,0.98
TICK,ASSET_160,0.0344,HOLD,0.93
TICK,ASSET_161,0.0000,IGNORE,0.97
TICK,ASSET_162,0.3353,BUY,0.89
TICK,ASSET_163,0.0191,HOLD,0.84
TICK,ASSET_164,0.2045,BUY,0.90
TICK,ASSET_165,0.6622,BUY,0.87
TICK,ASSET_166,0.0844,HOLD,0.89
TICK,ASSET_167,0.4254,BUY,0.81
TICK,ASSET_168,0.1339,BUY,0.93
TICK,ASSET_169,0.1666,BUY,0.96
TICK,ASSET_170,0.0061,IGNORE,0.84
TICK,ASSET_171,0.0022,IGNORE,0.83
TICK,ASSET_172,0.0055,IGNORE,0.82
TICK,ASSET_173,0.3138,BUY,0.91
TICK,ASSET_174,0.3004,BUY,0.82
TICK,ASSET_175,0.0478,HOLD,0.98
TICK,ASSET_176,0.6190,BUY,0.85
TICK,ASSET_177,0.1883,BUY,0.82
TICK,ASSET_178,0.7255,BUY,0.83
TICK,ASSET_179,0.0025,IGNORE,0.83
TICK,ASSET_180,0.2629,BUY,0.83
TICK,ASSET_181,0.0363,HOLD,0.84
TICK,ASSET_182,0.0521,HOLD,0.99
TICK,ASSET_183,0.1626,BUY,0.81
TICK,ASSET_184,0.0052,IGNORE,0.90
TICK,ASSET_185,0.0008,IGNORE,0.85
TICK,ASSET_186,0.0766,HOLD,0.89
TICK,ASSET_187,0.9364,BUY,0.92
TICK,ASSET_188,0.0218,HOLD,0.92
TICK,ASSET_189,0.1879,BUY,0.96
TICK,ASSET_190,0.0588,HOLD,0.80
TICK,ASSET_191,0.5258,BUY,0.91
TICK,ASSET_192,0.6326,BUY,0.99
TICK,ASSET_193,0.8408,BUY,0.89
TICK,ASSET_194,0.1504,BUY,0.98
TICK,ASSET_195,0.5495,BUY,0.96
TICK,ASSET_196,0.0174,HOLD,0.89
TICK,ASSET_197,0.0039,IGNORE,0.88
TICK,ASSET_198,0.0321,HOLD,0.95
TICK,ASSET_199,0.5565,BUY,0.94
